!ElementId	BlId	Description	BLColor	TlgColor	TlgColorId	Price	SumQuantity	Remainder
6066344	14769	Tile, Round 2 x 2 with Bottom Stud Holder	Tan	Brick Yellow	NULL	0,00	0	NULL
6069259	3040	Slope 45 2 x 1	Dark Orange	Dark Orange	NULL	0,00	0	NULL
6070691	4216	Brick, Modified 1 x 2 with Groove	Dark Red	New Dark Red	NULL	0,00	0	NULL
6071274	15712	Tile, Modified 1 x 1 with Clip - Rounded Edges	Reddish Brown	Reddish Brown	NULL	0,00	0	NULL
6080355	11090	Bar Holder with Clip	Reddish Brown	Reddish Brown	NULL	0,00	0	NULL
6089119	18651	Technic, Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle	Black	Black	NULL	0,00	0	NULL
6092111	61409	Slope 18 2 x 1 x 2/3 with 4 Slots	Light Bluish Gray	Medium Stone Grey	NULL	0,00	0	NULL
6092115	61409	Slope 18 2 x 1 x 2/3 with 4 Slots	Metallic Silver	Cool Silver, Drum Lacquered	NULL	0,00	0	NULL
6092591	15573	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)	Dark Tan	Sand Yellow	NULL	0,00	0	NULL
6093908	98283	Brick, Modified 1 x 2 with Masonry Profile (Brick Profile)	Dark Red	New Dark Red	NULL	0,00	0	NULL
6094069	2423	Plant Leaves 4 x 3	Lime	Bright Yellowish Green	NULL	0,00	0	NULL
6097232	19119	Plant Flower Stem with Bar and 6 Stems	Green	Dark Green	NULL	0,00	0	NULL
6097524	57518	Technic, Link Tread Wide with Two Pin Holes	Medium Dark Flesh	Medium Nougat	NULL	0,00	0	NULL
6100030	18654	Technic, Pin Connector Round 1L	Dark Bluish Gray	Dark Stone Grey	NULL	0,00	0	NULL
6100627	85861	Plate, Round 1 x 1 with Open Stud	Black	Black	NULL	0,00	0	NULL
6100769	63864	Tile 1 x 3	Reddish Brown	Reddish Brown	NULL	0,00	0	NULL
6102998	2431	Tile 1 x 4	Medium Dark Flesh	Medium Nougat	NULL	0,00	0	NULL
6103004	4216	Brick, Modified 1 x 2 with Groove	Reddish Brown	Reddish Brown	NULL	0,00	0	NULL
6104342	54200	Slope 30 1 x 1 x 2/3	Dark Orange	Dark Orange	NULL	0,00	0	NULL
6112306	20309	Window 1 x 4 x 1 2/3 with Spoked Rounded Top	Tan	Brick Yellow	NULL	0,00	0	NULL
6115261	3039	Slope 45 2 x 2	Dark Orange	Dark Orange	NULL	0,00	0	NULL
