!Username	ElementId	Amount	Difference
Anna	4656783	200	NULL
Anna	6021997	300	NULL
Anna	6046943	300	NULL
Anna	6055309	100	NULL
Anna	6055509	200	NULL
Anna	6058093	50	NULL
Anna	6058221	400	NULL
Anna	6058257	300	NULL
Anna	6062574	200	NULL
Anna	6084571	50	NULL
annelie67	242328	200	NULL
annelie67	4129872	100	NULL
annelie67	4249891	200	NULL
annelie67	4255413	100	NULL
annelie67	4264569	100	NULL
annelie67	4504375	400	NULL
annelie67	4521947	100	NULL
annelie67	4521948	100	NULL
annelie67	4613823	200	NULL
annelie67	4616578	1000	NULL
annelie67	4616581	200	NULL
annelie67	6009656	200	NULL
annelie67	6021997	200	NULL
annelie67	6023209	50	NULL
annelie67	6040310	50	NULL
annelie67	6046943	200	NULL
annelie67	6058257	200	NULL
annelie67	606428	100	NULL
annelie67	6075617	400	NULL
annelie67	6084571	100	NULL
annelie67	6103001	300	NULL
Aro	4129872	100	NULL
Aro	4211055	200	NULL
Aro	4211063	200	NULL
Aro	4211088	100	NULL
Aro	4211194	50	NULL
Aro	4211288	200	NULL
Aro	4211388	100	NULL
Aro	4211398	200	NULL
Aro	4211413	200	NULL
Aro	4211414	200	NULL
Aro	4249891	100	NULL
Aro	4255413	100	NULL
Aro	4264569	50	NULL
Aro	4269651	4	NULL
Aro	4521947	50	NULL
Aro	4521948	100	NULL
Aro	4536521	50	NULL
Aro	4536998	50	NULL
Aro	4570877	200	NULL
Aro	4614158	200	NULL
Aro	4616581	100	NULL
Aro	4623429	200	NULL
Aro	6036424	100	NULL
Aro	6040310	50	NULL
Aro	6046943	200	NULL
Aro	6058221	200	NULL
Aro	6058257	100	NULL
Aro	6062574	100	NULL
Aro	6075208	200	NULL
Aro	6084571	50	NULL
b0d3n	242328	100	NULL
b0d3n	300801	200	NULL
b0d3n	306901	200	NULL
b0d3n	4114026	300	NULL
b0d3n	4121969	400	NULL
b0d3n	4125253	300	NULL
b0d3n	4129872	100	NULL
b0d3n	4211055	200	NULL
b0d3n	4211088	400	NULL
b0d3n	4211194	100	NULL
b0d3n	4211288	200	NULL
b0d3n	4211388	100	NULL
b0d3n	4211398	200	NULL
b0d3n	4211413	200	NULL
b0d3n	4211414	200	NULL
b0d3n	4255624	100	NULL
b0d3n	4504375	200	NULL
b0d3n	4515374	150	NULL
b0d3n	4521947	300	NULL
b0d3n	4521948	100	NULL
b0d3n	4546705	600	NULL
b0d3n	4613823	100	NULL
b0d3n	4616578	200	NULL
b0d3n	4616581	250	NULL
b0d3n	6000311	150	NULL
b0d3n	6003331	100	NULL
b0d3n	6009656	100	NULL
b0d3n	6024692	50	NULL
b0d3n	6047501	200	NULL
b0d3n	6047885	300	NULL
b0d3n	6055309	100	NULL
b0d3n	6058221	200	NULL
b0d3n	6058257	200	NULL
b0d3n	6062574	100	NULL
b0d3n	6075208	200	NULL
b0d3n	6075617	150	NULL
b0d3n	6084571	50	NULL
b0d3n	6103001	100	NULL
baloo_tm	242328	100	NULL
baloo_tm	4129872	150	NULL
baloo_tm	4210700	200	NULL
baloo_tm	4211063	200	NULL
baloo_tm	4211288	200	NULL
baloo_tm	4211413	200	NULL
baloo_tm	4211414	200	NULL
baloo_tm	4518653	50	NULL
baloo_tm	4521947	50	NULL
baloo_tm	4521948	200	NULL
baloo_tm	4529685	200	NULL
baloo_tm	4540386	200	NULL
baloo_tm	4558952	200	NULL
baloo_tm	4616578	200	NULL
baloo_tm	4616581	100	NULL
baloo_tm	4656783	100	NULL
baloo_tm	6002843	50	NULL
baloo_tm	6002847	50	NULL
baloo_tm	6009656	200	NULL
baloo_tm	6020157	50	NULL
baloo_tm	6047501	400	NULL
baloo_tm	6055309	100	NULL
baloo_tm	6058221	200	NULL
baloo_tm	6058257	100	NULL
baloo_tm	6062574	300	NULL
baloo_tm	6071229	200	NULL
baloo_tm	6075208	200	NULL
baloo_tm	6075617	200	NULL
baloo_tm	6081975	100	NULL
baloo_tm	6084571	50	NULL
barbaroux	242328	100	NULL
barbaroux	4129872	100	NULL
barbaroux	4211063	200	NULL
barbaroux	4211085	200	NULL
barbaroux	4211088	150	NULL
barbaroux	4211288	200	NULL
barbaroux	4211398	200	NULL
barbaroux	4249891	100	NULL
barbaroux	4255413	100	NULL
barbaroux	4264569	100	NULL
barbaroux	4504375	200	NULL
barbaroux	4515374	100	NULL
barbaroux	4519946	50	NULL
barbaroux	4521947	50	NULL
barbaroux	4521948	100	NULL
barbaroux	4570877	200	NULL
barbaroux	4613823	100	NULL
barbaroux	4614158	200	NULL
barbaroux	4616578	200	NULL
barbaroux	4616581	100	NULL
barbaroux	4616845	100	NULL
barbaroux	4623429	200	NULL
barbaroux	4656783	100	NULL
barbaroux	6002843	100	NULL
barbaroux	6002847	100	NULL
barbaroux	6003331	100	NULL
barbaroux	6009656	100	NULL
barbaroux	6020157	50	NULL
barbaroux	6021997	200	NULL
barbaroux	6040310	50	NULL
barbaroux	6046943	200	NULL
barbaroux	6047501	200	NULL
barbaroux	6055309	100	NULL
barbaroux	6055509	200	NULL
barbaroux	6058093	100	NULL
barbaroux	6058221	200	NULL
barbaroux	6058257	500	NULL
barbaroux	6062574	100	NULL
barbaroux	6074312	50	NULL
barbaroux	6075208	200	NULL
barbaroux	6075617	200	NULL
barbaroux	6078605	200	NULL
barbaroux	6084571	100	NULL
